Time 240,Strain 240,Time 240 Creep,Strain 240 Creep,,Time 280,Strain 280,Time 280 Creep,Strain 280 Creep,,Time 300,Strain 300,Time 300 Creep,Strain 300 Creep,,Time 320,Strain 320,Time 320 Creep,Strain 320 Creep,,Time 280 Chris1,Strain 280 Chris1,,,Time 280 Chris2,Strain 280 Chris2,,,Time 280 MOOSE,Strain 280 MOOSE,,,Time 280 Creep FITTED,Strain 280 Creep FITTED,,,Time 320 Creep FITTED,Strain 320 Creep FITTED
,,,,,,,,,,,,,,,,,,,,5.772222222,0.018990598,,,0.038333333,-0.000961548,,,34.5,0.000329529,,,82.90776062,0.002318073,,,,
,,,,,,,,,,,,,,,,,,,,5.855555556,0.020860253,,,0.038888889,-0.001900396,,,35,0.000331704,,,89.09047699,0.002391156,,,,
,,,,,,,,,,,,,,,,,,,,5.938888889,0.020879608,,,0.039444444,0.000961548,,,35.5,0.00033386,,,95.27318573,0.002461598,,,,
,,,,,,,,,,,,,,,,,,,,6.022222222,0.01994478,,,0.04,-0.001900396,,,36,0.000335998,,,101.4558945,0.002529676,,,,
,,,,,,,,,,,,,,,,,,,,6.105555556,0.01994478,,,0.040555556,0.000961548,,,36.5,0.000338118,,,107.6386032,0.002595613,,,,
,,,,,,,,,,,,,,,,,,,,6.188888889,0.022788032,,,0.041111111,-2.27E-05,,,37,0.00034022,,,113.8213196,0.002659606,,,,
,,,,,,,,,,,,,,,,,,,,6.272222222,0.01994478,,,0.041666667,0.000961548,,,37.5,0.000342306,,,121.1223907,0.002732955,,,,
,,,,,,,,,,,,,,,,,,,,6.355555556,0.021814435,,,0.042222222,0,,,38,0.000344375,,,128.4234619,0.002804065,,,,
,,,,,,,,,,,,,,,,,,,,6.438888889,0.02183382,,,0.042777778,-2.27E-05,,,38.5,0.000346427,,,135.7245331,0.002873123,,,,
,,,,,,,,,,,,,,,,,,,,6.522222222,0.021814435,,,0.043333333,0,,,39,0.000348463,,,143.0256042,0.002940318,,,,
,,,,,,,,,,,,,,,,,,,,6.605555556,0.020879608,,,0.043888889,0.000938877,,,39.5,0.000350484,,,150.3266754,0.003005794,,,,
,,,,,,,,,,,,,,,,,,,,6.688888889,0.023722859,,,0.044444444,-0.001900396,,,40,0.000352489,,,158.6298981,0.003078393,,,,
,,,,,,,,,,,,,,,,,,,,6.772222222,0.020879608,,,0.045,0.001900425,,,40.5,0.000354479,,,166.9331207,0.003149106,,,,
,,,,,,,,,,,,,,,,,,,,6.855555556,0.02183382,,,0.045555556,-0.001900396,,,41,0.000356454,,,175.2363434,0.003218085,,,,
,,,,,,,,,,,,,,,,,,,,6.938888889,0.020898992,,,0.046111111,0,,,41.5,0.000358415,,,183.539566,0.003285471,,,,
,,,,,,,,,,,,,,,,,,,,7.022222222,0.024677071,,,0.046666667,0.001934662,,,42,0.000360362,,,191.8427887,0.003351374,,,,
,,,,,,,,,,,,,,,,,,,,7.105555556,0.023722859,,,0.047222222,-0.001900396,,,42.5,0.000362294,,,200.1399994,0.003415847,,,,
,,,,,,,,,,,,,,,,,,,,7.188888889,0.024657687,,,0.047777778,-0.001900396,,,43,0.000364213,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.272222222,0.02183382,,,0.048333333,-0.000961548,,,43.5,0.000366119,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.355555556,0.01994478,,,0.048888889,0.001900425,,,44,0.000368011,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.438888889,0.024657687,,,0.049444444,-0.000938848,,,44.5,0.00036989,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.522222222,0.025611899,,,0.05,0.000961548,,,45,0.000371757,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.605555556,0.024677071,,,0.050555556,0.000938877,,,45.5,0.000373611,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.688888889,0.021814435,,,0.051111111,0.001900425,,,46,0.000375453,,,,,,,,
